,year,month,precip_mm,tmin_C,tmax_C
1995-11-30,1995,11,565.00,-0.12,3.23
1995-12-31,1995,12,621.00,-5.06,-0.84
1996-01-31,1996,1,524.00,-7.90,-3.54
1996-02-29,1996,2,304.00,-4.36,1.47
1996-03-31,1996,3,226.00,-4.29,1.69
1996-04-30,1996,4,448.00,,
1996-05-31,1996,5,116.00,-1.97,4.89
1996-06-30,1996,6,21.00,2.46,11.82
1996-07-31,1996,7,36.00,10.18,20.08
1996-08-31,1996,8,70.00,9.51,18.25
1996-09-30,1996,9,120.00,5.28,11.88
1996-10-31,1996,10,445.00,1.41,6.98
1996-11-30,1996,11,444.00,-2.52,2.32
1996-12-31,1996,12,602.80,-5.85,-2.00
1997-01-31,1997,1,469.00,-3.05,1.53
1997-02-28,1997,2,231.00,-2.57,3.16
1997-03-31,1997,3,762.00,-3.77,0.95
1997-04-30,1997,4,295.00,-1.27,6.43
1997-05-31,1997,5,175.00,3.76,12.28
1997-06-30,1997,6,69.00,4.55,10.97
1997-07-31,1997,7,0.00,8.15,16.68
1997-08-31,1997,8,171.00,10.82,19.06
1997-09-30,1997,9,274.00,7.78,14.42
1997-10-31,1997,10,375.00,1.85,6.40
1997-11-30,1997,11,401.00,0.83,5.37
1997-12-31,1997,12,464.00,-1.87,2.69
1998-01-31,1998,1,722.00,-4.49,-0.83
1998-02-28,1998,2,508.00,-2.26,1.78
1998-03-31,1998,3,239.00,-1.81,4.31
1998-04-30,1998,4,72.00,-0.95,8.08
1998-05-31,1998,5,114.00,3.70,12.10
1998-06-30,1998,6,85.00,7.08,16.27
1998-07-31,1998,7,118.00,11.79,19.74
1998-08-31,1998,8,8.00,10.02,20.47
1998-09-30,1998,9,0.00,,
1998-10-31,1998,10,306.00,2.93,8.11
1998-11-30,1998,11,854.00,-0.86,2.46
1998-12-31,1998,12,807.00,,
1999-01-31,1999,1,850.00,-2.95,1.09
1999-02-28,1999,2,621.00,,
1999-03-31,1999,3,0.00,,
1999-04-30,1999,4,0.00,,
1999-05-31,1999,5,3.00,,
1999-06-30,1999,6,87.00,3.66,10.15
1999-07-31,1999,7,41.00,,
1999-08-31,1999,8,1.00,9.61,16.36
1999-09-30,1999,9,114.00,7.37,14.56
1999-10-31,1999,10,365.00,2.89,8.12
1999-11-30,1999,11,535.00,-0.90,3.15
1999-12-31,1999,12,406.00,-0.35,3.98
2000-01-31,2000,1,632.00,-5.05,-0.90
2000-02-29,2000,2,179.00,-3.19,1.02
2000-03-31,2000,3,307.00,-3.51,1.34
2000-04-30,2000,4,201.00,0.07,5.23
2000-05-31,2000,5,149.00,1.02,6.27
2000-06-30,2000,6,131.00,5.88,13.08
2000-07-31,2000,7,114.00,7.77,15.16
2000-08-31,2000,8,37.00,8.56,15.46
2000-09-30,2000,9,103.00,6.91,12.59
2000-10-31,2000,10,207.00,2.48,7.61
2000-11-30,2000,11,234.00,-1.85,1.87
2000-12-31,2000,12,196.00,-3.31,1.15
2001-01-31,2001,1,211.00,-2.60,1.38
2001-02-28,2001,2,175.00,,
2001-03-31,2001,3,0.00,-2.54,2.19
2001-04-30,2001,4,0.00,-1.79,3.67
2001-05-31,2001,5,0.00,2.02,8.61
2001-06-30,2001,6,0.00,3.40,9.15
2001-07-31,2001,7,0.00,8.09,14.64
2001-08-31,2001,8,177.00,9.58,14.76
2001-09-30,2001,9,103.00,7.22,13.39
2001-10-31,2001,10,268.00,1.34,5.40
2001-11-30,2001,11,616.00,-0.57,2.70
