, ID,Date,Q_cms
1960-01-01,08HA011,1960/01/01,62.9
1960-01-02,08HA011,1960/01/02,58.0
1960-01-03,08HA011,1960/01/03,54.9
1960-01-04,08HA011,1960/01/04,51.3
1960-01-05,08HA011,1960/01/05,47.3
1960-01-06,08HA011,1960/01/06,46.7
1960-01-07,08HA011,1960/01/07,43.9
1960-01-08,08HA011,1960/01/08,41.9
1960-01-09,08HA011,1960/01/09,40.8
1960-01-10,08HA011,1960/01/10,38.5
1960-01-11,08HA011,1960/01/11,37.4
1960-01-12,08HA011,1960/01/12,37.4
1960-01-13,08HA011,1960/01/13,37.9
1960-01-14,08HA011,1960/01/14,37.7
1960-01-15,08HA011,1960/01/15,36.8
1960-01-16,08HA011,1960/01/16,36.5
1960-01-17,08HA011,1960/01/17,34.3
1960-01-18,08HA011,1960/01/18,33.1
1960-01-19,08HA011,1960/01/19,32.3
1960-01-20,08HA011,1960/01/20,31.4
1960-01-21,08HA011,1960/01/21,30.6
1960-01-22,08HA011,1960/01/22,30.0
1960-01-23,08HA011,1960/01/23,30.3
1960-01-24,08HA011,1960/01/24,56.9
1960-01-25,08HA011,1960/01/25,58.9
1960-01-26,08HA011,1960/01/26,57.2
1960-01-27,08HA011,1960/01/27,55.2
1960-01-28,08HA011,1960/01/28,54.7
1960-01-29,08HA011,1960/01/29,255.0
1960-01-30,08HA011,1960/01/30,226.0
1960-01-31,08HA011,1960/01/31,174.0
1960-02-01,08HA011,1960/02/01,142.0
1960-02-02,08HA011,1960/02/02,138.0
1960-02-03,08HA011,1960/02/03,127.0
1960-02-04,08HA011,1960/02/04,119.0
1960-02-05,08HA011,1960/02/05,118.0
1960-02-06,08HA011,1960/02/06,125.0
1960-02-07,08HA011,1960/02/07,168.0
1960-02-08,08HA011,1960/02/08,155.0
1960-02-09,08HA011,1960/02/09,151.0
1960-02-10,08HA011,1960/02/10,133.0
1960-02-11,08HA011,1960/02/11,117.0
1960-02-12,08HA011,1960/02/12,172.0
1960-02-13,08HA011,1960/02/13,151.0
1960-02-14,08HA011,1960/02/14,180.0
1960-02-15,08HA011,1960/02/15,185.0
1960-02-16,08HA011,1960/02/16,155.0
1960-02-17,08HA011,1960/02/17,141.0
