, ID,Q_cms
1960-01-01,08HA011,60.3
1960-02-01,08HA011,122.0
1960-03-01,08HA011,53.5
1960-04-01,08HA011,87.1
1960-05-01,08HA011,54.3
1960-06-01,08HA011,27.2
1960-07-01,08HA011,8.0
1960-08-01,08HA011,6.16
1960-09-01,08HA011,6.24
1960-10-01,08HA011,23.0
1960-11-01,08HA011,79.5
1960-12-01,08HA011,96.2
1961-01-01,08HA011,188.0
1961-02-01,08HA011,159.0
1961-03-01,08HA011,114.0
1961-04-01,08HA011,66.7
1961-05-01,08HA011,39.8
1961-06-01,08HA011,10.6
1961-07-01,08HA011,5.42
1961-08-01,08HA011,3.09
1961-09-01,08HA011,7.74
1961-10-01,08HA011,
1961-11-01,08HA011,
1961-12-01,08HA011,93.9
1962-01-01,08HA011,105.0
1962-02-01,08HA011,50.4
1962-03-01,08HA011,31.5
1962-04-01,08HA011,40.9
1962-05-01,08HA011,46.1
1962-06-01,08HA011,14.3
1962-07-01,08HA011,9.31
1962-08-01,08HA011,12.0
1962-09-01,08HA011,9.76
1962-10-01,08HA011,37.1
1962-11-01,08HA011,106.0
1962-12-01,08HA011,144.0
1963-01-01,08HA011,90.0
1963-02-01,08HA011,101.0
1963-03-01,08HA011,52.2
1963-04-01,08HA011,56.9
1963-05-01,08HA011,32.2
1963-06-01,08HA011,6.53
1963-07-01,08HA011,12.6
1963-08-01,08HA011,
1963-09-01,08HA011,
1963-10-01,08HA011,
1963-11-01,08HA011,
1963-12-01,08HA011,
1964-01-01,08HA011,
1964-02-01,08HA011,
1964-03-01,08HA011,
1964-04-01,08HA011,
1964-05-01,08HA011,37.5
1964-06-01,08HA011,34.8
1964-07-01,08HA011,19.8
1964-08-01,08HA011,12.1
1964-09-01,08HA011,9.2
1964-10-01,08HA011,24.8
1964-11-01,08HA011,31.4
1964-12-01,08HA011,67.3
1965-01-01,08HA011,45.1
1965-02-01,08HA011,124.0
1965-03-01,08HA011,54.0
1965-04-01,08HA011,41.9
1965-05-01,08HA011,38.0
1965-06-01,08HA011,8.54
1965-07-01,08HA011,5.5
1965-08-01,08HA011,6.49
1965-09-01,08HA011,6.4
1965-10-01,08HA011,33.4
1965-11-01,08HA011,96.1
1965-12-01,08HA011,119.0
1966-01-01,08HA011,124.0
1966-02-01,08HA011,83.4
1966-03-01,08HA011,74.5
1966-04-01,08HA011,73.0
1966-05-01,08HA011,31.0
1966-06-01,08HA011,16.3
1966-07-01,08HA011,13.9
1966-08-01,08HA011,6.8
1966-09-01,08HA011,7.4
1966-10-01,08HA011,16.9
1966-11-01,08HA011,61.6
1966-12-01,08HA011,215.0
1967-01-01,08HA011,143.0
1967-02-01,08HA011,111.0
1967-03-01,08HA011,82.6
1967-04-01,08HA011,49.8
1967-05-01,08HA011,33.0
1967-06-01,08HA011,15.9
1967-07-01,08HA011,6.55
1967-08-01,08HA011,5.54
1967-09-01,08HA011,4.68
1967-10-01,08HA011,70.2
1967-11-01,08HA011,94.9
1967-12-01,08HA011,125.0
1968-01-01,08HA011,205.0
1968-02-01,08HA011,137.0
1968-03-01,08HA011,96.1
1968-04-01,08HA011,53.1
1968-05-01,08HA011,21.2
1968-06-01,08HA011,12.8
1968-07-01,08HA011,11.5
1968-08-01,08HA011,7.94
1968-09-01,08HA011,15.9
1968-10-01,08HA011,52.2
1968-11-01,08HA011,100.0
1968-12-01,08HA011,123.0
1969-01-01,08HA011,60.3
1969-02-01,08HA011,45.8
1969-03-01,08HA011,64.0
1969-04-01,08HA011,104.0
1969-05-01,08HA011,69.1
1969-06-01,08HA011,32.6
1969-07-01,08HA011,8.17
1969-08-01,08HA011,5.54
1969-09-01,08HA011,15.2
1969-10-01,08HA011,31.7
1969-11-01,08HA011,40.4
1969-12-01,08HA011,92.7
1970-01-01,08HA011,71.7
1970-02-01,08HA011,66.6
1970-03-01,08HA011,52.0
1970-04-01,08HA011,60.8
1970-05-01,08HA011,17.2
1970-06-01,08HA011,7.32
1970-07-01,08HA011,5.24
1970-08-01,08HA011,5.07
1970-09-01,08HA011,7.15
1970-10-01,08HA011,13.3
1970-11-01,08HA011,43.7
1970-12-01,08HA011,94.1
1971-01-01,08HA011,96.7
1971-02-01,08HA011,120.0
1971-03-01,08HA011,82.1
1971-04-01,08HA011,71.4
1971-05-01,08HA011,65.9
1971-06-01,08HA011,34.1
1971-07-01,08HA011,18.6
