Date,TMax,TMin,ET,Prec,MD
2005-01-01,2,-0.6,0.2775,0,0.2775
2005-01-02,2.2,-5,0.4221,0,0.4221
2005-01-03,0.9,-7,0.4211,0,0.4211
2005-01-04,3.9,-2.7,0.4384,0,0.4384
2005-01-05,2.1,-6.2,0.461,0,0.461
2005-01-06,0.3,-5.2,0.347,6.8,-1.003
2005-01-07,1,-2.4,0.2972,3.4,0.2972
2005-01-08,0.5,-3.7,0.316,1,0.316
2005-01-09,-0.5,-2.7,0.2495,0,0.2495
2005-01-10,0.6,-9.2,0.4885,0,0.4885
2005-01-11,3,-10.9,0.6701,1,0.6701
2005-01-12,4.6,1.5,0.3497,0.2,0.3497
2005-01-13,2.7,-7.9,0.5725,0,0.5725
2005-01-14,-1.4,-7.2,0.3495,0,0.3495
2005-01-15,-1.8,-9.4,0.3957,3.2,0.3957
2005-01-16,0,-4.7,0.3457,14.8,-7.0043
2005-01-17,10.6,-0.3,0.8266,76.4,-52.7234
2005-01-18,13.6,5.9,0.7733,54.8,-36.5767
2005-01-19,18.1,10,0.941,23.4,-12.859
2005-01-20,12.1,7.7,0.5747,22.4,-12.4753
2005-01-21,12.1,7.8,0.5754,1.2,0.5754
2005-01-22,10.8,9.2,0.4087,28.6,-17.2913
2005-01-23,10.8,9.2,0.4126,28.6,-17.2874
2005-01-24,10.8,9.2,0.4167,28.6,-17.2833
2005-01-25,10,8,0.4316,1,0.4316
2005-01-26,10,8,0.4362,1,0.4362
2005-01-27,12.7,5.6,0.7905,0,0.7905
2005-01-28,12,3.3,0.8628,0.8,0.8628
2005-01-29,10.1,4,0.6828,0.8,0.6828
2005-01-30,8.9,6.6,0.4555,6.6,-0.7445
2005-01-31,12.3,7.1,0.7066,2.4,0.7066
2005-02-01,13.1,6,0.8514,0.4,0.8514
2005-02-02,12.1,4.7,0.8477,3.2,0.8477
2005-02-03,9.5,7.7,0.4564,0,0.4564
2005-02-04,8.2,5.3,0.5071,32.6,-20.1929
2005-02-05,7.1,2.6,0.5803,0,0.5803
2005-02-06,3.8,0.5,0.4554,8.6,-2.2446
2005-02-07,8,-1.4,0.8667,0,0.8667
2005-02-08,8.2,-3.1,0.9696,0,0.9696
2005-02-09,9.4,-1.4,1.0058,0,1.0058
2005-02-10,9.1,-1.3,0.9875,0,0.9875
2005-02-11,12.3,-1.4,1.2958,0,1.2958
2005-02-12,8.2,1.8,0.7754,8.4,-1.7746
2005-02-13,6.9,0.5,0.7458,10.8,-3.6042
2005-02-14,5.6,-1.9,0.7703,4.1,0.7703
2005-02-15,8.3,-3.3,1.0727,0,1.0727
2005-02-16,10.3,-2.6,1.2367,0,1.2367
2005-02-17,13.5,-3.2,1.5992,0,1.5992
2005-02-18,11.9,-2,1.3954,0,1.3954
2005-02-19,10.9,-4.2,1.4137,0,1.4137
2005-02-20,11.7,-0.8,1.3481,0,1.3481
2005-02-21,12.4,-3.3,1.5597,0,1.5597
2005-02-22,13,-2.5,1.6036,0,1.6036
2005-02-23,17.1,1,1.9093,0,1.9093
2005-02-24,17.8,-0.9,2.1205,0,2.1205
2005-02-25,12.4,0.1,1.4587,0,1.4587
2005-02-26,17.1,-1.4,2.1061,0,2.1061
2005-02-27,19.3,-2.1,2.4495,0,2.4495
2005-02-28,13.2,3.3,1.4095,2.6,1.4095
2005-03-01,11.3,7.1,0.9111,12.6,-4.7889
2005-03-02,12.8,6.6,1.1522,2.6,1.1522
2005-03-03,17,3.7,1.911,0,1.911
2005-03-04,13.2,4.4,1.4032,0.4,1.4032
2005-03-05,13.1,4,1.437,0.2,1.437
2005-03-06,14.8,4,1.6696,0,1.6696
2005-03-07,16.9,7.1,1.7378,4,1.7378
2005-03-08,13.1,6.4,1.2994,2.6,1.2994
2005-03-09,17.8,8.7,1.7729,0,1.7729
2005-03-10,20.3,6.6,2.3363,0,2.3363
2005-03-11,15.5,5.5,1.7522,0,1.7522
2005-03-12,17.7,2.4,2.3022,,2.3022
2005-03-13,18.4,2.6,2.415,,2.415
2005-03-14,16.2,0.5,2.2588,0,2.2588
2005-03-15,13,2.9,1.6854,0,1.6854
2005-03-16,8.8,4.3,1.0278,16.8,-7.8222
2005-03-17,10.9,5.4,1.2249,2.4,1.2249
2005-03-18,9.1,4,1.1211,8,-1.1289
2005-03-19,9.6,3.8,1.2206,,1.2206
2005-03-20,12.5,5,1.5362,18.2,-8.3638
2005-03-21,11.4,3.4,1.5338,8.6,-1.1662
2005-03-22,12.5,2.1,1.8071,0,1.8071
2005-03-23,11.5,6.9,1.2406,0,1.2406
2005-03-24,13.5,3.1,1.9133,0,1.9133
2005-03-25,13.1,1.1,2.0225,0,2.0225
2005-03-26,9.5,4.8,1.2004,44.2,-28.1996
2005-03-27,11.6,6.6,1.3453,7.7,-0.6797
2005-03-28,9.2,3.7,1.2941,8.6,-1.4059
